%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
CONTRADICTION	 ( There  ( is  (  ( no man  ) standing_on_a_roof_top_and_playing_a_violin  )  )  ) 	 (  ( A man  )  ( is standing_on_a_roof_top_and_playing_a_violin  )  ) 	3.4	3338
NEUTRAL	 (  ( A monkey  )  ( is  ( kicking  ( at  (  ( a  ( person 's  )  ) glove  )  )  )  )  ) 	 (  ( The monkey  )  ( is  ( practicing  ( martial arts  )  )  )  ) 	3.6	3143
NEUTRAL	 (  (  (  ( A man  ) and  )  ( a woman  )  )  ( are  ( eating happily  )  )  ) 	 (  ( A  (  ( man and  ) woman  )  )  ( are talking  )  ) 	2.6	2766
NEUTRAL	 ( A_man  ( is  ( playing flute  )  )  ) 	 ( A_man  ( is  (  ( playing  ( a game  )  )  ( with  ( a ball  )  )  )  )  ) 	1.5	1302
NEUTRAL	 (  ( One man  )  ( is  (  ( climbing  ( a cliff  )  )  ( with a_rope  )  )  )  ) 	 (  ( A person  )  ( is  (  ( climbing  ( a rock  )  )  ( with  (  ( a_rope ,  )  ( which  ( is pink  )  )  )  )  )  )  ) 	4.6	651
NEUTRAL	 (  ( Few people  )  ( are  (  ( eating  ( at  (  ( red tables  )  ( in a_restaurant  )  )  )  )  ( without lights  )  )  )  ) 	 (  (  ( A  ( large group  )  )  ( of  ( Asian people  )  )  )  ( is  ( eating  ( at a_restaurant  )  )  )  ) 	2.6	185
ENTAILMENT	 (  ( The meat  )  ( is  ( being  ( dropped into_a_pan  )  )  )  ) 	 ( Someone  ( is  (  ( dropping  ( the meat  )  ) into_a_pan  )  )  ) 	4.7	3626
NEUTRAL	 (  (  ( A  ( man 's  )  )  ( white car  )  )  ( is  ( being  ( driven away  )  )  )  ) 	 (  ( The man  )  ( is  ( granting  ( an interview  )  )  )  ) 	1.1	2096
NEUTRAL	 (  ( A baby  )  ( is  ( playing  ( with  ( a doll  )  )  )  )  ) 	 (  ( A  ( tiger cub  )  )  ( is  ( playing  ( with  ( a ball  )  )  )  )  ) 	1.4	5745
ENTAILMENT	 (  ( A  ( black dog  )  ) is_running_in_the_grass  ) 	 (  (  (  (  ( A dog  ) ,  )  ( which  ( is black  )  )  ) ,  ) is_running_in_the_grass  ) 	5	6280
NEUTRAL	 (  ( A horse  )  ( is  ( tossing  (  ( the cowboy  )  ( wearing  ( pants  ( of  ( blue  ( and  ( red color  )  )  )  )  )  )  )  )  )  ) 	 (  ( A man  )  ( is  ( getting  ( on  (  ( a horse  )  ( on  (  ( a track  )  ( laid  ( in  ( the wild  )  )  )  )  )  )  )  )  )  ) 	2.1	980
NEUTRAL	 ( A_person  ( is  ( slicing  ( an onion  )  )  )  ) 	 ( A_person  ( is  ( cutting  ( some ginger  )  )  )  ) 	3	4823
NEUTRAL	 ( A_boy_in_a_striped_shirt  ( is  ( jumping  ( in  ( front  ( of a_water_fountain  )  )  )  )  )  ) 	 ( A_boy_in_a_striped_shirt  ( is  ( jumping  ( behind a_water_fountain  )  )  )  ) 	4.2	8362
ENTAILMENT	 ( Two_boys  ( are  (  ( laying  ( in  ( the  ( ocean close  )  )  )  ) to_the_beach  )  )  ) 	 ( Two_boys  ( are  (  ( laying  ( in  ( the  ( water close  )  )  )  ) to_the_beach  )  )  ) 	4.4	9069
NEUTRAL	 ( A_girl  ( is  (  ( skipping rope  )  ( on  ( near  ( a street  )  )  )  )  )  ) 	 ( A_girl  ( is  (  ( jumping rope  )  ( on  (  ( a sidewalk  )  ( near  ( a  ( parking garage  )  )  )  )  )  )  )  ) 	3.7	8792
NEUTRAL	 (  (  ( A talk  )  ( about  (  (  ( an adult  ) and  ) a_boy  )  )  )  ( is  ( given in_the_amphitheater  )  )  ) 	 (  ( An adult  )  (  (  ( is in_the_amphitheater  ) and  )  ( is  ( talking  ( to a_boy  )  )  )  )  ) 	3.1	988
CONTRADICTION	 ( The_man  ( is  ( denying an_interview  )  )  ) 	 ( The_man  ( is  ( granting an_interview  )  )  ) 	3.2	2089
NEUTRAL	 (  ( A man  )  ( is  (  ( squirting water  )  ( into  ( the_mouth  ( of  (  ( a  ( white dog  )  )  ( with  ( a  ( squirt gun  )  )  )  )  )  )  )  )  )  ) 	 ( There  ( is  (  ( no man  )  (  ( spraying  ( a  ( super soaker  )  )  )  ( into  ( the_mouth  ( of  ( a dog  )  )  )  )  )  )  )  ) 	2.9	7720
ENTAILMENT	 (  ( The black_and_white_dog  )  ( is  ( running  ( in  ( a  ( green yard  )  )  )  )  )  ) 	 (  ( A black_and_white_dog  )  ( is  ( running outdoors  )  )  ) 	4.4	9433
NEUTRAL	 (  ( A  ( karate practitioner  )  )  ( is  ( kicking  ( at  (  ( another man  )  ( who  ( is  ( wearing  ( protective  ( boxing gloves  )  )  )  )  )  )  )  )  )  ) 	 (  ( The man  )  ( is  (  ( kick boxing  )  ( with  ( a trainer  )  )  )  )  ) 	4	2721
NEUTRAL	 ( There  ( is  (  ( no  ( young boy  )  )  ( jumping  ( in  (  ( the air  )  ( with  ( his  ( knees  ( bent  ( and  ( arms spread  )  )  )  )  )  )  )  )  )  )  )  ) 	 (  (  ( A person  )  ( with  ( a  ( green shirt  )  )  )  )  ( is  ( jumping  ( high  ( over  ( the grass  )  )  )  )  )  ) 	2.6	7228
ENTAILMENT	 (  (  ( A young_girl  ) in_blue  ) is_jumping_in_the_air  ) 	 (  (  ( The young_girl  ) in_blue  ) is_jumping_in_the_air  ) 	5	7548
NEUTRAL	 (  ( Four children  )  ( are  ( doing  ( backbends  ( in  ( the gym  )  )  )  )  )  ) 	 (  ( Four girls  )  ( are  (  (  ( doing backbends  ) and  )  ( playing outdoors  )  )  )  ) 	3.8	105
ENTAILMENT	 (  ( Some cameras  )  ( are  ( being  ( burned  ( by  (  ( a person  )  ( with  ( a  ( blow torch  )  )  )  )  )  )  )  )  ) 	 (  ( The person  )  ( is  (  ( setting fire  )  ( to  ( the cameras  )  )  )  )  ) 	4.2	2364
CONTRADICTION	 ( The_puppy  ( is playing_with_a_plastic_container  )  ) 	 ( The_puppy  (  ( is not  ) playing_with_a_plastic_container  )  ) 	3.2	3036
NEUTRAL	 (  (  (  (  ( Two children  ) ,  )  ( who  ( are small  )  )  ) ,  )  ( are  ( playing  ( with  (  ( a  ( toy car  )  )  ( in  ( the street  )  )  )  )  )  )  ) 	 (  ( A father  )  ( is  (  ( pushing  ( his daughter  )  )  ( on  (  (  ( a go-kart  ) and  )  (  ( another girl  )  ( is watching  )  )  )  )  )  )  ) 	2.2	6849
NEUTRAL	 ( A_person  ( is  (  ( cutting  ( an onion  )  ) into_pieces  )  )  ) 	 ( A_person  ( is  (  ( slicing  ( a carrot  )  ) into_pieces  )  )  ) 	3.4	2385
CONTRADICTION	 (  ( A man  )  ( is opening_a_door  )  ) 	 ( There  ( is  (  ( no man  ) opening_a_door  )  )  ) 	3.6	5051
NEUTRAL	 ( A_person  ( is  ( standing  ( near  ( a motorcycle  )  )  )  )  ) 	 ( A_person  ( is  ( chopping  ( an onion  )  )  )  ) 	1.2	1390
NEUTRAL	 (  ( A  ( blond girl  )  )  ( is  ( looking  ( at  ( the waves  )  )  )  )  ) 	 (  ( A lady  )  ( is  (  (  ( surfing and  ) riding  )  ( a wave  )  )  )  ) 	3.3	450
NEUTRAL	 ( A_woman  ( is  (  ( resting her_fingers  ) on_a_table  )  )  ) 	 ( A_woman  ( is  (  ( tapping her_fingers  ) on_a_table  )  )  ) 	4.1	2229
NEUTRAL	 (  ( A_boy  ( wearing  ( a  ( striped shirt  )  )  )  )  ( is  (  ( running barefoot  )  ( on  ( the  ( sandy hill  )  )  )  )  )  ) 	 ( A_boy  ( is  ( running  ( through  ( the sand  )  )  )  )  ) 	3.9	9722
NEUTRAL	 (  ( An onion  )  ( is  ( being  ( sliced  ( by  ( a woman  )  )  )  )  )  ) 	 (  ( The woman  )  ( is  ( cutting  ( a carrot  )  )  )  ) 	2.4	2932
NEUTRAL	 (  (  ( The rider  )  ( dressed  ( in orange  )  )  )  ( is  ( driving  (  ( a motorcycle  )  ( on  ( one wheel  )  )  )  )  )  ) 	 (  (  ( A man  )  ( on  ( a  ( yellow  ( sport bike  )  )  )  )  )  ( is  (  ( doing  (  (  ( a wheelie  ) and  )  ( a friend  )  )  )  ( on  (  ( a  ( black bike  )  )  ( is  ( catching up  )  )  )  )  )  )  ) 	2.8	9545
NEUTRAL	 ( There  (  ( is  ( no one  )  )  ( playing  ( a piano  )  )  )  ) 	 (  ( A man  )  ( is  ( playing  ( a guitar  )  )  )  ) 	2.7	4376
NEUTRAL	 (  (  ( A group  )  ( of  ( students  ( in uniforms  )  )  )  )  ( is  (  ( listening attentively  )  ( at  (  ( the front  )  ( of  ( the class  )  )  )  )  )  )  ) 	 (  (  ( A classroom  )  ( full  ( of students  )  )  )  ( is  (  ( looking attentively  )  ( in  (  ( the  ( same direction  )  )  ( inside  ( a  ( bamboo structure  )  )  )  )  )  )  )  ) 	2.8	6673
NEUTRAL	 ( A_man  ( is  (  ( walking down  ) a_road  )  )  ) 	 ( A_man  ( is  ( stopping  ( in  (  ( the middle  )  ( of a_road  )  )  )  )  )  ) 	3.2	3855
NEUTRAL	 ( The_girl  ( is  ( cheering  (  ( the man  ) in_the_blue_and_white_uniform  )  )  )  ) 	 (  ( The_girl in_the_blue_and_white_uniform  )  ( is cheering  )  ) 	3.1	882
NEUTRAL	 (  (  ( A  ( young girl  )  )  ( with  ( painted face  )  )  )  ( is  (  ( standing next  )  ( to  ( some  ( other children  )  )  )  )  )  ) 	 ( Children  ( are  (  (  ( being  ( dressed  ( in costumes  )  )  ) and  )  ( playing  ( a game  )  )  )  )  ) 	3.1	8313
NEUTRAL	 ( Two_people  ( are  ( sitting  ( on  ( a_park_bench  ( on  ( a  ( hot day  )  )  )  )  )  )  )  ) 	 ( Two_people  ( are  ( sitting  ( on  ( a_park_bench  ( on  ( a  ( sunny day  )  )  )  )  )  )  )  ) 	4.3	8505
NEUTRAL	 (  ( A  ( white man  )  )  ( is  ( staging  (  (  ( a hat  ) and  )  ( a playing_guitar  )  )  )  )  ) 	 (  (  ( A man  )  ( in  ( a  ( white hat  )  )  )  )  ( is  ( playing_guitar  ( on stage  )  )  )  ) 	3	6961
